id,title,priority,target_minutes,status,lessons,demo_repo_state,visual_proof,hosted_url,recorded_date,published_date,notes
01,Welcome and the safety promise,1,6,not_started,01-getting-started/01-install,none — talking head or voice only,none required,,,,"Say the disclaimer and the honest video status on camera"
02,Install and log in,1,10,not_started,01-getting-started/01-install; 01-getting-started/02-accounts-and-login,clean VM or fresh user account with Claude Code NOT installed,real browser login handoff + /status showing subscription not API key,,,,"Highest-value 20 seconds in the course: correct the API-key myth out loud. Throwaway account only"
03,First safe session and permission modes,1,12,not_started,01-getting-started/03-first-command; 01-getting-started/05-permission-modes,small scratch repo, clean git state,the permission prompt appearing + plan mode refusing to edit,,,,"Do not casually demo bypassPermissions. Links preflight-checklist.md"
04,The loop: inspect plan build review test ship,1,12,not_started,04-real-dev-workflows/01-build-a-feature,scratch repo with a passing test suite,a real diff being read and questioned out loud,,,,"Re-record if you accept every suggestion unchanged — that defeats the point"
05,Writing a useful CLAUDE.md,2,9,not_started,05-advanced-prompting/01-claude-md-setup,repo with a convention Claude would not guess,before/after: same prompt with and without CLAUDE.md,,,,"The contrast IS the lesson. Links claude-md-template.md"
06,"Skills, hooks, and MCP",2,12,not_started,08-extending-claude-code/01-skills; 08-extending-claude-code/02-hooks; 08-extending-claude-code/03-mcp,repo with a formatter configured,the PostToolUse hook firing on its own after an edit,,,,"Links skill-template/SKILL.md. End on the decision guide"
07,Subagents and agent teams,2,11,not_started,08-extending-claude-code/04-subagents-and-agent-teams,repo big enough that exploration is genuinely noisy,main context staying clean while subagent does noisy work,,,,"Untangle subagents vs agent teams vs background agents vs Agent SDK"
08,"Capstone kickoff: brief, inspect, plan",3,10,not_started,09-capstone/01-brief-and-inspect; 09-capstone/02-plan-and-scaffold,empty directory — genuinely from scratch,a plan being rejected and improved,,,,"Write the non-goals on camera"
09a,Capstone build: data and schema,3,12,not_started,09-capstone/03-data-and-schema,continues from 08,migration running,,,,"Slow down — irreversible mistakes live here"
09b,Capstone build: build the feature,3,12,not_started,09-capstone/04-build-the-feature,continues from 09a,at least one genuine failure AND the recovery,,,,"MUST contain a real failure. Keep recording until something breaks"
09c,Capstone build: tests and review,3,12,not_started,09-capstone/05-tests-and-review,continues from 09b,review running in a fresh session,,,,"Show it not marking its own homework"
10,"Browser QA, deploy, and rollback",3,12,not_started,09-capstone/06-qa-ship-and-rollback,continues from 09c — deployable,a real rollback executing on camera,,,,"Almost no course shows the rollback. Links ship-checklist.md"
11,How Terry actually uses Claude Code,4,12,not_started,unassigned — bonus or 10-professional-practice,your own real sanitized work,real work across your products,,,,"OPTIONAL. Scrub every client name/key/customer record first. Cannot go stale — it is about judgment not UI"
